"Date","Indent Number","PCN","Client name","Area","Material Code","Material Name","Brand","Specification","Indent Description","Quantity","Received","Pending","Status"
"26-07-2023","MI002","PCN_869","TATA Starbucks India Pvt Ltd","BIAL","CPY001","Laminate","STYLAM","{""Shade"": ""142-SD"", ""Finish"": ""Suede"", ""Thickness"": ""0.8 mm"", ""Length x Height"": ""1.2m x 2.44m""}","nil","6","0","6","Active"
"26-07-2023","MI002","PCN_869","TATA Starbucks India Pvt Ltd","BIAL","CVL003","AAC Blocks","Siporex","{""Thickness"": ""150mm"", ""Length x Height"": ""600mm x 200mm""}","nil","12","0","12","Active"
"26-07-2023","MI002","PCN_869","TATA Starbucks India Pvt Ltd","BIAL","CVL007","Fly Ash Bricks","RANK","{""Length x Width x Height"": ""240mm x 112mm x 70mm""}","nil","9","0","9","Active"
